n_sim,gamma,mse,mse_se
1,0.1366555031188311,0.012107691214573724,0.0
1,0.13678145067016978,0.014756137692492241,0.0
1,0.1369075143001538,0.010619618037326124,0.0
1,0.1370336941157663,0.011334936526292992,0.0
1,0.13715999022408887,0.014113096040396629,0.0
1,0.13728640273230186,0.010516576608304996,0.0
1,0.13741293174768437,0.015334983480264068,0.0
1,0.13753957737761435,0.010265704739890254,0.0
1,0.13766633972956882,0.014177140866925684,0.0
1,0.13779321891112378,0.009154059541227616,0.0
1,0.13792021502995433,0.007325219944764973,0.0
1,0.1380473281938349,0.014817455287349481,0.0
1,0.13817455851063914,0.00284790145261917,0.0
1,0.1383019060883403,0.011954045444488613,0.0
1,0.138429371035011,0.00850034889763508,0.0
1,0.13855695345882343,0.010318198108949314,0.0
1,0.13868465346804962,0.010060899564137561,0.0
1,0.13881247117106124,0.00795256663410329,0.0
1,0.13894040667633,0.01091984836760346,0.0
1,0.13906846009242746,0.014613013233212067,0.0
1,0.13919663152802525,0.005002042575353121,0.0
1,0.1393249210918952,0.010998977319259915,0.0
1,0.13945332889290937,0.008331945384929866,0.0
1,0.1395818550400402,0.013791541862632983,0.0
1,0.1397104996423605,0.009456445599595095,0.0
1,0.1398392628090436,0.011827973040255279,0.0
1,0.13996814464936355,0.011158102052491752,0.0
1,0.14009714527269498,0.006376270272579368,0.0
1,0.14022626478851344,0.007958303830627062,0.0
1,0.14035550330639532,0.01329012972340679,0.0
1,0.14048486093601797,0.011885761761796612,0.0
1,0.14061433778715995,0.007170759833451298,0.0
1,0.14074393396970075,0.007039139845602357,0.0
1,0.14087364959362145,0.010271208069209167,0.0
1,0.14100348476900423,0.009775230476455414,0.0
1,0.14113343960603286,0.007345535003624981,0.0
1,0.1412635142149926,0.005814926489717426,0.0
1,0.14139370870627047,0.009181562913501981,0.0
1,0.14152402319035504,0.011911195161270278,0.0
1,0.1416544577778368,0.01166620946756874,0.0
1,0.14178501257940823,0.00923060645336322,0.0
1,0.14191568770586377,0.012953824472929507,0.0
1,0.14204648326809993,0.007741272655855052,0.0
1,0.14217739937711554,0.009053120511260924,0.0
1,0.1423084361440116,0.01053618643089224,0.0
1,0.14243959367999157,0.009234564095400114,0.0
1,0.14257087209636143,0.008639464197971698,0.0
1,0.14270227150452974,0.007763419420302215,0.0
1,0.14283379201600765,0.006654544057088054,0.0
1,0.1429654337424092,0.012040978867872762,0.0
1,0.14309719679545113,0.00953789866403854,0.0
1,0.1432290812869534,0.0067840967517508515,0.0
1,0.14336108732883882,0.012744683987360306,0.0
1,0.14349321503313345,0.012216864198675926,0.0
1,0.1436254645119665,0.019040734233393742,0.0
1,0.1437578358775706,0.008297438831705863,0.0
1,0.14389032924228187,0.021984669280561565,0.0
1,0.14402294471853985,0.00861092083693757,0.0
1,0.1441556824188878,0.011309931024965423,0.0
1,0.1442885424559726,0.006709356574776305,0.0
1,0.14442152494254507,0.008999811046892098,0.0
1,0.14455462999145988,0.00840867111120851,0.0
1,0.1446878577156757,0.005486049373810778,0.0
1,0.14482120822825534,0.01191328442663345,0.0
1,0.14495468164236583,0.009624432237536482,0.0
1,0.1450882780712784,0.008723985736068413,0.0
1,0.14522199762836882,0.010119769193926225,0.0
1,0.14535584042711727,0.01230343223148865,0.0
1,0.14548980658110852,0.02026624423513021,0.0
1,0.14562389620403204,0.009078796045753722,0.0
1,0.145758109409682,0.0055697797167938365,0.0
1,0.14589244631195766,0.010296490099334149,0.0
1,0.146026907024863,0.01566842928453839,0.0
1,0.14616149166250728,0.011281411142048045,0.0
1,0.14629620033910473,0.007074589920907479,0.0
1,0.146431033168975,0.012484612861582286,0.0
1,0.14656599026654307,0.007644885548631742,0.0
1,0.14670107174633937,0.0054708647669113155,0.0
1,0.14683627772299981,0.009255898797442935,0.0
1,0.1469716083112661,0.008005492281986087,0.0
1,0.14710706362598555,0.007526373947987323,0.0
1,0.14724264378211144,0.01242936601944889,0.0
1,0.14737834889470292,0.01309587259015919,0.0
1,0.14751417907892522,0.006149017482659439,0.0
1,0.1476501344500497,0.00947914432684726,0.0
1,0.14778621512345394,0.009961199075184536,0.0
1,0.1479224212146219,0.007570226319557911,0.0
1,0.14805875283914396,0.01263193816829184,0.0
1,0.14819521011271694,0.00995497075030952,0.0
1,0.14833179315114453,0.009251744785668682,0.0
1,0.14846850207033682,0.007730978514118716,0.0
1,0.14860533698631104,0.010845555515195116,0.0
1,0.14874229801519115,0.005536800597499207,0.0
1,0.14887938527320815,0.008151191369691294,0.0
1,0.14901659887670027,0.012415855169227576,0.0
1,0.1491539389421129,0.015525507646143268,0.0
1,0.14929140558599874,0.007053154289870192,0.0
1,0.1494289989250179,0.014091438662306364,0.0
1,0.14956671907593802,0.01096475926506169,0.0
1,0.1497045661556344,0.010902950063493054,0.0
1,0.14984254028109004,0.009296369697574419,0.0
1,0.1499806415693957,0.009558193119985056,0.0
1,0.1501188701377501,0.01122524739860781,0.0
1,0.15025722610345996,0.00923645131647268,0.0
1,0.15039570958394016,0.007039176189791174,0.0
1,0.15053432069671377,0.009424257090062367,0.0
1,0.15067305955941215,0.010193571703446092,0.0
1,0.15081192628977508,0.006865927225285803,0.0
1,0.1509509210056508,0.009548084355000265,0.0
1,0.15109004382499638,0.015347427180645119,0.0
1,0.15122929486587733,0.008538129679701674,0.0
1,0.15136867424646816,0.008061488698901472,0.0
1,0.1515081820850522,0.010635934732993079,0.0
1,0.1516478185000218,0.00666492752713264,0.0
1,0.1517875836098785,0.006558791437332805,0.0
1,0.15192747753323302,0.01276474065079215,0.0
1,0.15206750038880534,0.008562650761226353,0.0
1,0.1522076522954249,0.007011045892013947,0.0
1,0.15234793337203065,0.009948356628593174,0.0
1,0.15248834373767126,0.012608745872821918,0.0
1,0.15262888351150491,0.007586244456455433,0.0
1,0.1527695528127998,0.003380101611206532,0.0
1,0.15291035176093398,0.011613945019156888,0.0
1,0.1530512804753954,0.012488088564269651,0.0
1,0.1531923390757824,0.015348485426892936,0.0
1,0.15333352768180333,0.01137630703314894,0.0
1,0.15347484641327697,0.009432399833799338,0.0
1,0.15361629539013244,0.012606581700404636,0.0
1,0.15375787473240946,0.006999733091213313,0.0
1,0.15389958456025843,0.01394716214298469,0.0
1,0.15404142499394038,0.007594653138394442,0.0
1,0.15418339615382726,0.0074885947700415855,0.0
1,0.15432549816040192,0.01095530369160303,0.0
1,0.15446773113425818,0.010178276940249833,0.0
1,0.15461009519610122,0.008820890495192635,0.0
1,0.15475259046674725,0.009522854369643868,0.0
1,0.1548952170671239,0.00753897000013248,0.0
1,0.1550379751182703,0.010240540680099166,0.0
1,0.15518086474133705,0.010371818796901277,0.0
1,0.1553238860575865,0.008674151402769925,0.0
1,0.15546703918839272,0.007315408210862847,0.0
1,0.15561032425524157,0.009223478351332436,0.0
1,0.15575374137973105,0.013497002843781379,0.0
1,0.15589729068357103,0.015078353846554605,0.0
1,0.15604097228858368,0.008301035493159432,0.0
1,0.15618478631670346,0.011967627564682583,0.0
1,0.15632873288997706,0.007291818815588433,0.0
1,0.1564728121305639,0.007119494008759295,0.0
1,0.1566170241607357,0.00893439012616391,0.0
1,0.1567613691028771,0.015021157634816821,0.0
1,0.15690584707948543,0.012447353469109206,0.0
1,0.15705045821317093,0.008550944574483941,0.0
1,0.1571952026266569,0.015412288549329233,0.0
1,0.15734008044277964,0.003035859481154571,0.0
1,0.15748509178448877,0.007979849033349537,0.0
1,0.15763023677484714,0.007299331198801923,0.0
1,0.157775515537031,0.01408082659307426,0.0
1,0.15792092819433035,0.005025975567970154,0.0
1,0.1580664748701485,0.012140327301291744,0.0
1,0.1582121556880027,0.00846660048850523,0.0
1,0.158357970771524,0.010792455262573683,0.0
1,0.15850392024445728,0.010145815949229404,0.0
1,0.1586500042306617,0.010323067340547797,0.0
1,0.15879622285411038,0.007062018543632266,0.0
1,0.15894257623889074,0.012553445701472217,0.0
1,0.1590890645092046,0.012874903504794883,0.0
1,0.15923568778936817,0.012717010079744915,0.0
1,0.1593824462038124,0.01965762966898361,0.0
1,0.1595293398770828,0.011142130411466939,0.0
1,0.1596763689338396,0.00900306962198184,0.0
1,0.1598235334988581,0.006269168818542062,0.0
1,0.15997083369702841,0.008859471325959342,0.0
1,0.16011826965335596,0.010580930366394481,0.0
1,0.1602658414929612,0.008669002764012411,0.0
